league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Liga Nacional,1,2705,Municipal,20,35,10,5,5,26,18,8
Liga Nacional,2,4326,Comunicaciones,20,33,9,6,5,27,24,3
Liga Nacional,3,4324,Antigua GFC,20,32,9,5,6,30,24,6
Liga Nacional,4,4325,Coban Imperial,20,32,10,2,8,26,25,1
Liga Nacional,5,4327,Malacateco,20,29,8,5,7,30,26,4
Liga Nacional,6,12322,Juventud Pinulteca,0,0,0,0,0,0,0,0
Liga Nacional,6,4328,Guastatoya,20,29,8,5,7,21,22,-1
Liga Nacional,7,10132,Marquense,20,27,7,6,7,18,19,-1
Liga Nacional,8,4335,Mixco,20,25,6,7,7,21,23,-2
Liga Nacional,9,4330,Xelaju,20,24,6,6,8,28,25,3
Liga Nacional,10,4337,Achuapa,20,19,5,4,11,18,23,-5
Liga Nacional,11,4340,Xinabajul,20,17,4,5,11,21,37,-16
Liga Nacional,12,10130,Zacapa Tellioz,0,0,0,0,0,0,0,0
